,word1,word2,val
889,도움,갓생,8633
890,운동,계획,8630
891,학교,약속,8627
892,학교,기간,8625
893,케이크,선물,8619
894,오늘,순간,8619
895,피곤,운동,8610
896,오늘,실패,8609
897,행복,아이스크림,8605
898,사회,갓생,8605
899,출근,새벽,8596
900,서울,공부,8591
901,행복,중간,8588
902,도서관,갓생,8586
903,인간,공부,8585
904,여행,도착,8576
905,출근,맛집,8565
906,오늘,다행,8565
907,정리,점심,8561
908,카페,다행,8561
909,포장,카페,8551
910,인생,서울,8538
911,검사,갓생,8537
912,블로그,내용,8532
913,시작,나이,8524
914,돼지,갓생,8514
915,커피,주일,8514
916,포기,블로그,8509
917,주말,도착,8496
918,오늘,동네,8495
919,인생,버스,8489
920,발견,공부,8484
921,표현,갓생,8483
922,평소,시작,8483
923,행복,생활,8479
924,인스타,인생,8478
925,카페,겨울,8473
926,습관,갓생,8472
927,며칠,갓생,8467
928,행복,전화,8466
929,수업,과제,8464
930,운동,기대,8461
931,점심,영화,8461
932,유튜브,블로그,8456
933,학년,갓생,8453
934,피자,카페,8453
935,최애,블로그,8452
936,행복,동네,8450
937,중간,공부,8447
938,점심,눈물,8444
939,시작,과제,8430
940,일상,이유,8423
941,집중,시작,8420
942,주말,일상,8416
943,카페,거기,8414
944,인생,인간,8413
945,카페,실패,8412
946,케이크,점심,8402
947,작년,시작,8402
948,회사,주말,8395
949,시작,사용,8394
950,이유,도착,8388
951,행복,포기,8378
952,일상,일기,8374
953,오늘,예전,8373
954,크림,시작,8370
955,치킨,블로그,8369
956,시절,갓생,8369
957,학교,피곤,8368
958,행복,종일,8367
959,오늘,내용,8360
960,카페,문제,8358
961,인생,계획,8355
962,포장,시작,8345
963,케이크,커피,8341
964,신청,시작,8338
965,침대,갓생,8335
966,인생,여름,8335
967,포스팅,시작,8334
968,순간,블로그,8333
969,오늘,예약,8327
970,일상,맛집,8322
971,정리,운동,8320
972,학교,주말,8320
973,선물,기대,8319
974,블로그,노력,8319
975,영어,시작,8317
976,초밥,갓생,8315
977,목표,공부,8315
978,코로나,시작,8313
979,여행,선물,8308
980,주도,시작,8308
981,약속,선물,8305
982,오늘,도전,8300
983,조합,시작,8297
984,내용,공부,8297
985,노래,기대,8291
986,블로그,감동,8290
987,점심,아이스크림,8285
988,필요,느낌,8284
989,노래방,갓생,8278
990,점심,가족,8273
991,학원,공부,8270
992,행복,추가,8270
993,카페,여유,8270
994,카페,수다,8269
995,운동,다이어트,8268
996,오늘,떡볶이,8265
997,행복,취향,8260
998,만족,공부,8260
999,연애,갓생,8258
1000,카페,예정,8252
1001,공부,가족,8250
1002,커피,성공,8249
1003,커피,여름,8248
1004,오늘,노력,8245
1005,추석,갓생,8242
1006,아이스크림,블로그,8236
1007,학교,성공,8232
1008,새벽,느낌,8231
1009,커피,마무리,8231
1010,출근,느낌,8228
1011,교수,공부,8218
1012,점심,만족,8215
1013,수업,버스,8215
1014,카메라,갓생,8214
1015,점심,떡볶이,8211
1016,세트,갓생,8208
1017,참여,갓생,8207
1018,학생,갓생,8206
1019,오늘,선생,8204
1020,책,수업,8193
1021,오늘,기간,8189
1022,학교,인스타,8185
1023,행복,추억,8175
1024,점심,상태,8170
1025,파티,카페,8163
1026,도착,기대,8162
1027,여름,노래,8162
1028,유튜브,오늘,8159
1029,카페,순간,8158
1030,필요,이유,8157
1031,행복,문제,8155
1032,블로그,겨울,8154
1033,인정,갓생,8153
1034,아래,갓생,8146
1035,행복,떡볶이,8143
1036,편의점,카페,8142
1037,필요,점심,8141
1038,일상,기록,8137
1039,이유,수업,8136
